exp,seed,model,bal_soglia_attuale,bal_soglia_oracolo,roc_auc_target,roc_auc_source,rec_normal_attuale,rec_attack_attuale,thr_oracolo,thr_attuale,fit_seconds,bal_prior,bal_mediana,bal_quantile
bot->ton,50,DecisionTree(d=5),0.46751346752109685,0.7579834520593879,0.6931238475438238,0.9997021918085167,0.8289,0.1061269350421937,0.06890130353817515,0.5,0.2,0.4903506714355793,0.5,0.5
bot->ton,50,LightGBM,0.6994215112733866,0.8260797486385624,0.7620101374788099,0.9999516545143695,0.77016,0.6286830225467732,0.008791379313402825,0.5,2.6,0.5273618491955565,0.715460610333886,0.5
bot->ton,50,XGBoost,0.6750446468955497,0.8217673010314015,0.7716781688120564,0.999947962677285,0.45698,0.8931092937910993,0.8303150534629822,0.5,1.8,0.5208314668753066,0.6715697116919084,0.5
bot->ton,50,MLP(16),0.7316944383798116,0.7408561854287364,0.6191989387306496,0.9996876002619447,0.57616,0.8872288767596233,0.2998805420442897,0.5,3.0,0.5346219622709463,0.7386793691125972,0.5
bot->ton,51,"KAN(cat,1L)",0.5764178359816944,0.8111970418459666,0.8304672280074267,0.999368080552369,0.97384,0.17899567196338867,-1.6503188960414026,0.0,3.4,0.5281900408586526,0.5152843620026949,0.5259136779617867
bot->ton,51,"KAN(cat,ML)",0.8006499086579361,0.8373906666542477,0.8697136791415956,0.9999676964255106,0.95736,0.6439398173158721,-2.5931496698981835,0.0,21.9,0.5413933337059046,0.5009568952391598,0.5
bot->ton,51,DecisionTree(d=5),0.45057448209484424,0.7410103142638922,0.6631518935936366,0.9997858294986574,0.82448,0.07666896418968847,0.05660377358490576,0.5,0.1,0.5,0.5,0.5
bot->ton,51,LightGBM,0.6356355228106778,0.8241199711257241,0.8132463427780159,0.9999670371688885,0.821,0.4502710456213558,0.03716986112432906,0.5,2.5,0.5232447062585769,0.5,0.5
bot->ton,51,XGBoost,0.6960501228243388,0.7770114933899641,0.7471560395049769,0.9999582470805919,0.55302,0.8390802456486777,0.9067270755767822,0.5,1.8,0.5148526860527933,0.6960788644647703,0.5
bot->ton,51,MLP(16),0.7443245293493043,0.7566414637705458,0.6045168430170824,0.9998876626715716,0.57652,0.9121290586986085,0.6621979738711457,0.5,3.1,0.49411406084089343,0.7442769483926653,0.5
